clip_id	track_number	title	artist	album	url	segmentStart	segmentEnd	original_url	mp3_path
40	01	Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa	American Bach Soloists	Heinrich Schutz - Musicalische Exequien	http://www.magnatune.com/artists/albums/abs-heinrich/	30	59	http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3	9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-30-59.mp3
44	01	Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa	American Bach Soloists	Heinrich Schutz - Musicalische Exequien	http://www.magnatune.com/artists/albums/abs-heinrich/	146	175	http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3	9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-146-175.mp3
48	01	Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa	American Bach Soloists	Heinrich Schutz - Musicalische Exequien	http://www.magnatune.com/artists/albums/abs-heinrich/	262	291	http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3	9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-262-291.mp3
49	01	Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa	American Bach Soloists	Heinrich Schutz - Musicalische Exequien	http://www.magnatune.com/artists/albums/abs-heinrich/	291	320	http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3	9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-291-320.mp3
50	01	Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa	American Bach Soloists	Heinrich Schutz - Musicalische Exequien	http://www.magnatune.com/artists/albums/abs-heinrich/	320	349	http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3	9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-320-349.mp3
51	01	Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa	American Bach Soloists	Heinrich Schutz - Musicalische Exequien	http://www.magnatune.com/artists/albums/abs-heinrich/	349	378	http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3	9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-349-378.mp3
53	01	Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa	American Bach Soloists	Heinrich Schutz - Musicalische Exequien	http://www.magnatune.com/artists/albums/abs-heinrich/	407	436	http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3	9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-407-436.mp3
6529	02	Christe eleison	American Bach Soloists	J.S. Bach - Mass in B Minor CD1	http://www.magnatune.com/artists/albums/abs-bachmasscd1/	0	29	http://he3.magnatune.com/all/02-Christe%20eleison-ABS.mp3	4/american_bach_soloists-j_s__bach__mass_in_b_minor_cd1-02-christe_eleison-0-29.mp3
6532	02	Christe eleison	American Bach Soloists	J.S. Bach - Mass in B Minor CD1	http://www.magnatune.com/artists/albums/abs-bachmasscd1/	88	117	http://he3.magnatune.com/all/02-Christe%20eleison-ABS.mp3	4/american_bach_soloists-j_s__bach__mass_in_b_minor_cd1-02-christe_eleison-88-117.mp3
6535	02	Christe eleison	American Bach Soloists	J.S. Bach - Mass in B Minor CD1	http://www.magnatune.com/artists/albums/abs-bachmasscd1/	175	204	http://he3.magnatune.com/all/02-Christe%20eleison-ABS.mp3	4/american_bach_soloists-j_s__bach__mass_in_b_minor_cd1-02-christe_eleison-175-204.mp3
6536	02	Christe eleison	American Bach Soloists	J.S. Bach - Mass in B Minor CD1	http://www.magnatune.com/artists/albums/abs-bachmasscd1/	204	233	http://he3.magnatune.com/all/02-Christe%20eleison-ABS.mp3	4/american_bach_soloists-j_s__bach__mass_in_b_minor_cd1-02-christe_eleison-204-233.mp3
6539	02	CMUCH	Strojovna 07	Mirnix	http://www.magnatune.com/artists/albums/strojovna-mirnix/	0	29	http://he3.magnatune.com/all/02-CMUCH-Strojovna%2007.mp3	6/strojovna_07-mirnix-02-cmuch-0-29.mp3
6540	02	CMUCH	Strojovna 07	Mirnix	http://www.magnatune.com/artists/albums/strojovna-mirnix/	30	59	http://he3.magnatune.com/all/02-CMUCH-Strojovna%2007.mp3	6/strojovna_07-mirnix-02-cmuch-30-59.mp3
6541	02	CMUCH	Strojovna 07	Mirnix	http://www.magnatune.com/artists/albums/strojovna-mirnix/	59	88	http://he3.magnatune.com/all/02-CMUCH-Strojovna%2007.mp3	6/strojovna_07-mirnix-02-cmuch-59-88.mp3
6544	02	CMUCH	Strojovna 07	Mirnix	http://www.magnatune.com/artists/albums/strojovna-mirnix/	146	175	http://he3.magnatune.com/all/02-CMUCH-Strojovna%2007.mp3	6/strojovna_07-mirnix-02-cmuch-146-175.mp3
6546	02	CMUCH	Strojovna 07	Mirnix	http://www.magnatune.com/artists/albums/strojovna-mirnix/	204	233	http://he3.magnatune.com/all/02-CMUCH-Strojovna%2007.mp3	6/strojovna_07-mirnix-02-cmuch-204-233.mp3
